feature_stem,deepnsd_model_string,model,train_task,train_data,architecture,model_class,model_depth,display_name,metric,model_layer,model_layer_depth,mean_train,mean_test,n_subjects,rank_by_mean_train,rank_by_mean_test,selection_rule
BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Vehicle,crsa,StdConv2d-39,0.7261904761904762,0.3595274312019131,0.3500995945775609,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Vehicle,crsa,StdConv2d-39,0.7261904761904762,0.3595274312019131,0.3500995945775609,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Vehicle,srpr,PreActBottleneck-15,0.9345238095238096,0.37075208144910576,0.38298930544114357,4,4,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Vehicle,srpr,StdConv2d-49,0.9107142857142856,0.3724101058654579,0.3823692507746877,4,1,3,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Vehicle,wrsa,PreActBottleneck-15,0.9345238095238096,0.7005486674647684,0.6926833733062618,4,3,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Vehicle,wrsa,StdConv2d-49,0.9107142857142856,0.7045235790515508,0.6912806208814692,4,1,3,highest_mean_train_score_across_subjects
DPT_Hybrid_monoculardepth,DPT_Hybrid_monoculardepth,DPT_Hybrid,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",DPT_Hybrid,Transformer,584.0,DPT-Hybrid,crsa,LayerNorm-4,0.5136986301369864,0.2953422994011311,0.27714186958645926,4,2,1,highest_mean_test_score_across_subjects_posthoc
DPT_Hybrid_monoculardepth,DPT_Hybrid_monoculardepth,DPT_Hybrid,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",DPT_Hybrid,Transformer,584.0,DPT-Hybrid,crsa,Linear-7,0.5154109589041096,0.30209494989041585,0.26546283446426455,4,1,5,highest_mean_train_score_across_subjects
DPT_Hybrid_monoculardepth,DPT_Hybrid_monoculardepth,DPT_Hybrid,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",DPT_Hybrid,Transformer,584.0,DPT-Hybrid,srpr,LayerNorm-6,0.5445205479452054,0.34957615018561183,0.35549913514742393,4,3,1,highest_mean_test_score_across_subjects_posthoc
DPT_Hybrid_monoculardepth,DPT_Hybrid_monoculardepth,DPT_Hybrid,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",DPT_Hybrid,Transformer,584.0,DPT-Hybrid,srpr,LayerNorm-8,0.5753424657534246,0.35083722832086456,0.3548596809428036,4,1,3,highest_mean_train_score_across_subjects
DPT_Hybrid_monoculardepth,DPT_Hybrid_monoculardepth,DPT_Hybrid,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",DPT_Hybrid,Transformer,584.0,DPT-Hybrid,wrsa,Linear-15,0.577054794520548,0.6364653977573327,0.6310913945732094,4,4,1,highest_mean_test_score_across_subjects_posthoc
