deepnsd_model_string,feature_stem,model,train_task,train_data,architecture,model_class,model_depth,display_name,metric,region,subj_id,model_layer,model_layer_depth,nsd_test_score_for_train_selected_layer
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,srpr,OTC,2,StdConv2d-48,0.892857142857143,0.403611835497317
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,srpr,OTC,5,GroupNorm-45,0.916666666666667,0.425361709381411
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,srpr,OTC,7,StdConv2d-49,0.910714285714286,0.341402960001901
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,wrsa,OTC,1,PreActBottleneck-15,0.93452380952381,0.685868234622913
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,wrsa,OTC,2,PreActBottleneck-15,0.93452380952381,0.706471505119644
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,wrsa,OTC,5,StdConv2d-49,0.910714285714286,0.736082420732733
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,wrsa,OTC,7,GroupNorm-45,0.916666666666667,0.63177374112704
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,crsa,OTC,1,StdConv2d-39,0.726190476190476,0.350047256312341
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,crsa,OTC,2,StdConv2d-39,0.726190476190476,0.363351367918943
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,crsa,OTC,5,StdConv2d-39,0.726190476190476,0.357155095373772
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,crsa,OTC,7,StdConv2d-39,0.726190476190476,0.340831959206561
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,srpr,OTC,1,StdConv2d-48,0.892857142857143,0.363851936708453
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,srpr,OTC,2,StdConv2d-48,0.892857142857143,0.403838928448078
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,srpr,OTC,5,StdConv2d-49,0.910714285714286,0.423010014913434
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,srpr,OTC,7,StdConv2d-49,0.910714285714286,0.34023308786557
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,wrsa,OTC,1,PreActBottleneck-15,0.93452380952381,0.692773087739487
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,wrsa,OTC,2,StdConv2d-48,0.892857142857143,0.704721471963012
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,wrsa,OTC,5,StdConv2d-49,0.910714285714286,0.738502363014707
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,wrsa,OTC,7,StdConv2d-49,0.910714285714286,0.627618214328018
