feature_stem,deepnsd_model_string,model,train_task,train_data,architecture,model_class,display_name,metric,region,consensus_layer,subject_votes_for_consensus,n_subjects,mean_nsd_test_score_for_consensus_layer,mean_nsd_test_score_across_subject_train_selected_layers,selected_layers_by_subject
RN101_clip,RN101_clip,RN101,clip,openai400M,ResNet101,Convolutional,CLiP-ResNet101,wrsa,OTC,Conv2d-102,3,4,0.7398473261784373,0.7147264516602845,1:Conv2d-102;2:Conv2d-102;5:Conv2d-102;7:Conv2d-101
RN50_clip,RN50_clip,RN50,clip,openai400M,ResNet50,Convolutional,CLiP-ResNet50,crsa,OTC,BatchNorm2d-50,3,4,0.3395431025488463,0.345875571518963,1:BatchNorm2d-50;2:BatchNorm2d-50;5:ReLU-47;7:BatchNorm2d-50
RN50_clip,RN50_clip,RN50,clip,openai400M,ResNet50,Convolutional,CLiP-ResNet50,srpr,OTC,Conv2d-51,4,4,0.3949889084713903,0.3949889084713903,1:Conv2d-51;2:Conv2d-51;5:Conv2d-51;7:Conv2d-51
RN50_clip,RN50_clip,RN50,clip,openai400M,ResNet50,Convolutional,CLiP-ResNet50,wrsa,OTC,Conv2d-51,4,4,0.7172953407208865,0.7172953407208865,1:Conv2d-51;2:Conv2d-51;5:Conv2d-51;7:Conv2d-51
RegNet-128Gf-SEER-INFT_seer,RegNet-128Gf-SEER-INFT_seer,RegNet-128Gf-SEER-INFT,seer,random1B,RegNet-128Gf,Convolutional,RegNet-128Gf-SEER-INFT,crsa,OTC,ReLU-62,4,4,0.34170349828145774,0.34170349828145774,1:ReLU-62;2:ReLU-62;5:ReLU-62;7:ReLU-62
RegNet-128Gf-SEER-INFT_seer,RegNet-128Gf-SEER-INFT_seer,RegNet-128Gf-SEER-INFT,seer,random1B,RegNet-128Gf,Convolutional,RegNet-128Gf-SEER-INFT,srpr,OTC,AdaptiveAvgPool2d-29,1,4,0.419510133566152,0.38194245603022925,1:BatchNorm2d-65;2:Conv2d-95;5:AdaptiveAvgPool2d-29;7:Conv2d-90
RegNet-128Gf-SEER-INFT_seer,RegNet-128Gf-SEER-INFT_seer,RegNet-128Gf-SEER-INFT,seer,random1B,RegNet-128Gf,Convolutional,RegNet-128Gf-SEER-INFT,wrsa,OTC,BatchNorm2d-81,3,4,0.672249473748071,0.6892523160033678,1:BatchNorm2d-81;2:BatchNorm2d-81;5:AdaptiveAvgPool2d-26;7:BatchNorm2d-81
RegNet-128Gf-SEER_seer,RegNet-128Gf-SEER_seer,RegNet-128Gf-SEER,seer,random1B,RegNet-128Gf,Convolutional,RegNet-128Gf-SEER,crsa,OTC,Conv2d-131,4,4,0.3306942498348733,0.3306942498348733,1:Conv2d-131;2:Conv2d-131;5:Conv2d-131;7:Conv2d-131
RegNet-128Gf-SEER_seer,RegNet-128Gf-SEER_seer,RegNet-128Gf-SEER,seer,random1B,RegNet-128Gf,Convolutional,RegNet-128Gf-SEER,srpr,OTC,Conv2d-131,3,4,0.37305314432286035,0.3853987452308445,1:Conv2d-131;2:Conv2d-131;5:AdaptiveAvgPool2d-30;7:Conv2d-131
RegNet-128Gf-SEER_seer,RegNet-128Gf-SEER_seer,RegNet-128Gf-SEER,seer,random1B,RegNet-128Gf,Convolutional,RegNet-128Gf-SEER,wrsa,OTC,BatchNorm2d-88,2,4,0.751416571575692,0.7108371435603642,1:AdaptiveAvgPool2d-30;2:BatchNorm2d-88;5:BatchNorm2d-88;7:AdaptiveAvgPool2d-30
RegNet-32Gf-SEER-INFT_seer,RegNet-32Gf-SEER-INFT_seer,RegNet-32Gf-SEER-INFT,seer,random1B,RegNet-32Gf,Convolutional,RegNet-32Gf-SEER-INFT,crsa,OTC,BatchNorm2d-50,3,4,0.36134286175327435,0.3619704737082853,1:BatchNorm2d-50;2:BatchNorm2d-50;5:AdaptiveAvgPool2d-15;7:BatchNorm2d-50
