source_order,feature_stem,feature_file,result_model,feature_exists,in_manifest,status,deepnsd_model_string,model_display_name,model_class,architecture,train_type,train_data,compare_architecture,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_goal_selfsupervised,compare_goal_contrastive,compare_goal_slip,compare_diet_imagenetsize,compare_diet_ipcl,needed_for,all_deepnsd_model_strings
48,random_weights_taskonomy,random_weights_taskonomy.h5,random_weights_taskonomy,True,True,included,random_weights_taskonomy,Random Weights,Convolutional,resnet50,taskonomy,,,random_weights,Random,,,,,,fig3_taskonomy,random_weights_taskonomy
160,ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100_selfsupervised.h5,ResNet50/JigSaw/P100_selfsupervised,True,True,included,ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100,Convolutional,ResNet50,selfsupervised,imagenet,,,,JigSaw-P100,Non-Contrastive,,,,fig3_selfsupervised_resnet50,ResNet50-JigSaw-P100_selfsupervised
161,ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19_selfsupervised.h5,ResNet50/JigSaw/Goyal19_selfsupervised,True,True,included,ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19,Convolutional,ResNet50,selfsupervised,imagenet,,,,JigSaw-Goyal19,Non-Contrastive,,,,fig3_selfsupervised_resnet50,ResNet50-JigSaw-Goyal19_selfsupervised
162,ResNet50-RotNet_selfsupervised,ResNet50-RotNet_selfsupervised.h5,ResNet50/RotNet_selfsupervised,True,True,included,ResNet50-RotNet_selfsupervised,ResNet50-RotNet,Convolutional,ResNet50,selfsupervised,imagenet,,,,RotNet,Non-Contrastive,,,,fig3_selfsupervised_resnet50,ResNet50-RotNet_selfsupervised
163,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised.h5,ResNet50/ClusterFit/16K/RotNet_selfsupervised,True,True,included,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,Convolutional,ResNet50,selfsupervised,imagenet,,,,ClusterFit-16K-RotNet,Non-Contrastive,,,,fig3_selfsupervised_resnet50,ResNet50-ClusterFit-16K-RotNet_selfsupervised
164,ResNet50-PIRL_selfsupervised,ResNet50-PIRL_selfsupervised.h5,ResNet50/PIRL_selfsupervised,True,True,included,ResNet50-PIRL_selfsupervised,ResNet50-PIRL,Convolutional,ResNet50,selfsupervised,imagenet,,,,PIRL,Contrastive,,,,fig3_selfsupervised_resnet50,ResNet50-PIRL_selfsupervised
165,ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR_selfsupervised.h5,ResNet50/SimCLR_selfsupervised,True,True,included,ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR,Convolutional,ResNet50,selfsupervised,imagenet,,,,SimCLR,Contrastive,,,,fig3_selfsupervised_resnet50,ResNet50-SimCLR_selfsupervised
166,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised.h5,ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,True,True,included,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2,Convolutional,ResNet50,selfsupervised,imagenet,,,,DeepClusterV2-2x224+6x96,Contrastive,,,,fig3_selfsupervised_resnet50,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised
167,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised.h5,ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,True,True,included,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096,Convolutional,ResNet50,selfsupervised,imagenet,,,,SwAV-BS4096-2x224+6x96,Contrastive,,,,fig3_selfsupervised_resnet50,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised
168,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised.h5,ResNet50/MoCoV2/BS256_selfsupervised,True,True,included,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256,Convolutional,ResNet50,selfsupervised,imagenet,,,,MoCoV2-BS256,Contrastive,,,,fig3_selfsupervised_resnet50,ResNet50-MoCoV2-BS256_selfsupervised
169,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised.h5,ResNet50/BarlowTwins/BS2048_selfsupervised,True,True,included,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,Convolutional,ResNet50,selfsupervised,imagenet,,,,BarlowTwins-BS2048,Contrastive,,,,fig3_selfsupervised_resnet50,ResNet50-BarlowTwins-BS2048_selfsupervised
