region,comparison_id,comparison,eval_type,level,n_obs,n_subjects,n_models,mean,median,std,sem
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,vanishing_point,5,5,1,0.02765407310798764,0.038772739470005035,0.02051479521630912,0.009174495329630938
l-objects,contrastive_self_supervised,Contrastive Self-Supervised Learning,crsa,Non-Contrastive,20,5,4,0.12003886122256517,0.11685076728463173,0.043937490091501795,0.009824721460532147
l-objects,contrastive_self_supervised,Contrastive Self-Supervised Learning,crsa,Contrastive,30,5,6,0.22889793713887532,0.23062554746866226,0.03569307038453516,0.006516633265409834
l-objects,contrastive_self_supervised,Contrastive Self-Supervised Learning,wrsa,Non-Contrastive,20,5,4,0.3975571274757385,0.3840508759021759,0.04883936004220524,0.010920812903195791
l-objects,contrastive_self_supervised,Contrastive Self-Supervised Learning,wrsa,Contrastive,30,5,6,0.48215118249257405,0.46630068123340607,0.060432282739998525,0.0110333748194091
l-objects,language_alignment,Language Alignment,crsa,SimCLR,15,5,3,0.13460650096337,0.12614215910434723,0.02898769253454547,0.007484590028751711
l-objects,language_alignment,Language Alignment,crsa,CLIP,15,5,3,0.1325708318501711,0.14121828973293304,0.05182407549704741,0.013380918755510698
l-objects,language_alignment,Language Alignment,crsa,SLIP,15,5,3,0.13966492116451262,0.14343193173408508,0.035908100254906074,0.009271431618746502
l-objects,language_alignment,Language Alignment,wrsa,SimCLR,15,5,3,0.4431748628616333,0.4251231551170349,0.041447830207063684,0.01070178374189269
l-objects,language_alignment,Language Alignment,wrsa,CLIP,15,5,3,0.44870478510856626,0.4374881684780121,0.057920332729946844,0.014954965604658433
l-objects,language_alignment,Language Alignment,wrsa,SLIP,15,5,3,0.46156598726908366,0.4597342014312744,0.05870097577487461,0.015156526772147625
l-objects,imagenet_size,ImageNet1K versus ImageNet21K,crsa,imagenet,60,5,12,0.15557252131402494,0.1555815413594246,0.034957265831760474,0.004512963613178463
l-objects,imagenet_size,ImageNet1K versus ImageNet21K,crsa,imagenet21k,60,5,12,0.18175362224380176,0.17702949792146683,0.03339948675168944,0.004311855198705615
l-objects,imagenet_size,ImageNet1K versus ImageNet21K,wrsa,imagenet,60,5,12,0.48076649755239487,0.47268663346767426,0.05935830952729479,0.007663124808607925
l-objects,imagenet_size,ImageNet1K versus ImageNet21K,wrsa,imagenet21k,60,5,12,0.47799186607201893,0.4673739820718765,0.06569343174349579,0.008480985569925761
l-objects,objects_faces_places,"Objects, Faces, Places",crsa,imagenet,5,5,1,0.15407411754131317,0.15581707656383514,0.030701749237818723,0.013730239664783005
l-objects,objects_faces_places,"Objects, Faces, Places",crsa,openimages,5,5,1,0.20068770945072173,0.21381261944770813,0.037135614843772265,0.016607551835385002
l-objects,objects_faces_places,"Objects, Faces, Places",crsa,places256,5,5,1,0.17940732836723328,0.18609187006950378,0.026629762295137797,0.011909191743317785
l-objects,objects_faces_places,"Objects, Faces, Places",crsa,vggface2,5,5,1,0.10768399611115456,0.12456846237182617,0.03724983410732724,0.01665863224291478
