image_id,participant_pool,union_index,image_path
shared_12rep_LAION_cluster_1307_i5.jpg,"p01,p02,p03,p04,p05",56,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1307_i5.jpg
shared_12rep_LAION_cluster_1308_i0.jpg,"p01,p02,p03,p04,p05",57,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1308_i0.jpg
shared_12rep_LAION_cluster_1316_i4.jpg,"p01,p02,p03,p04,p05",58,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1316_i4.jpg
shared_12rep_LAION_cluster_1317_i3.jpg,"p01,p02,p03,p04,p05",59,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1317_i3.jpg
shared_12rep_LAION_cluster_1318_i6.jpg,"p01,p02,p03,p04,p05",60,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1318_i6.jpg
shared_12rep_LAION_cluster_1330_i6.jpg,"p01,p02,p03,p04,p05",61,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1330_i6.jpg
shared_12rep_LAION_cluster_1332_i1.jpg,"p01,p02,p03,p04,p05",62,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1332_i1.jpg
shared_12rep_LAION_cluster_1337_i4.jpg,"p01,p02,p03,p04,p05",63,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1337_i4.jpg
shared_12rep_LAION_cluster_1383_i8.jpg,"p01,p02,p03,p04,p05",64,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1383_i8.jpg
shared_12rep_LAION_cluster_1393_i0.jpg,"p01,p02,p03,p04,p05",65,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1393_i0.jpg
shared_12rep_LAION_cluster_1399_i6.jpg,"p01,p02,p03,p04,p05",66,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1399_i6.jpg
shared_12rep_LAION_cluster_1403_i2.jpg,"p01,p02,p03,p04,p05",67,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1403_i2.jpg
shared_12rep_LAION_cluster_1416_i1.jpg,"p01,p02,p03,p04,p05",68,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1416_i1.jpg
shared_12rep_LAION_cluster_1417_i4.jpg,"p01,p02,p03,p04,p05",69,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1417_i4.jpg
shared_12rep_LAION_cluster_1431_i1.jpg,"p01,p02,p03,p04,p05",70,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1431_i1.jpg
shared_12rep_LAION_cluster_1439_i2.jpg,"p01,p02,p03,p04,p05",71,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1439_i2.jpg
shared_12rep_LAION_cluster_1442_i2.jpg,"p01,p02,p03,p04,p05",72,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1442_i2.jpg
shared_12rep_LAION_cluster_1444_i2.jpg,"p01,p02,p03,p04,p05",73,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1444_i2.jpg
shared_12rep_LAION_cluster_1453_i7.jpg,"p01,p02,p03,p04,p05",74,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1453_i7.jpg
shared_12rep_LAION_cluster_1461_i1.jpg,"p01,p02,p03,p04,p05",75,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1461_i1.jpg
shared_12rep_LAION_cluster_1462_i2.jpg,"p01,p02,p03,p04,p05",76,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1462_i2.jpg
shared_12rep_LAION_cluster_1464_i0.jpg,"p01,p02,p03,p04,p05",77,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1464_i0.jpg
shared_12rep_LAION_cluster_1480_i1.jpg,"p01,p02,p03,p04,p05",78,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1480_i1.jpg
shared_12rep_LAION_cluster_1482_i2.jpg,"p01,p02,p03,p04,p05",79,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1482_i2.jpg
shared_12rep_LAION_cluster_1491_i0.jpg,"p01,p02,p03,p04,p05",80,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1491_i0.jpg
shared_12rep_LAION_cluster_1499_i1.jpg,"p01,p02,p03,p04,p05",81,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1499_i1.jpg
shared_12rep_LAION_cluster_149_i0.jpg,"p01,p02,p03,p04,p05",82,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_149_i0.jpg
shared_12rep_LAION_cluster_1506_i0.jpg,"p01,p02,p03,p04,p05",83,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1506_i0.jpg
shared_12rep_LAION_cluster_1515_i6.jpg,"p01,p02,p03,p04,p05",84,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1515_i6.jpg
shared_12rep_LAION_cluster_1527_i6.jpg,"p01,p02,p03,p04,p05",85,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1527_i6.jpg
shared_12rep_LAION_cluster_1543_i6.jpg,"p01,p02,p03,p04,p05",86,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1543_i6.jpg
shared_12rep_LAION_cluster_1545_i0.jpg,"p01,p02,p03,p04,p05",87,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1545_i0.jpg
shared_12rep_LAION_cluster_1554_i3.jpg,"p01,p02,p03,p04,p05",88,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1554_i3.jpg
shared_12rep_LAION_cluster_1558_i1.jpg,"p01,p02,p03,p04,p05",89,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1558_i1.jpg
shared_12rep_LAION_cluster_1564_i5.jpg,"p01,p02,p03,p04,p05",90,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1564_i5.jpg
shared_12rep_LAION_cluster_1565_i0.jpg,"p01,p02,p03,p04,p05",91,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1565_i0.jpg
shared_12rep_LAION_cluster_1568_i5.jpg,"p01,p02,p03,p04,p05",92,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1568_i5.jpg
shared_12rep_LAION_cluster_1577_i1.jpg,"p01,p02,p03,p04,p05",93,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1577_i1.jpg
shared_12rep_LAION_cluster_1583_i3.jpg,"p01,p02,p03,p04,p05",94,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1583_i3.jpg
shared_12rep_LAION_cluster_1595_i0.jpg,"p01,p02,p03,p04,p05",95,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1595_i0.jpg
shared_12rep_LAION_cluster_1600_i1.jpg,"p01,p02,p03,p04,p05",96,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1600_i1.jpg
shared_12rep_LAION_cluster_1614_i1.jpg,"p01,p02,p03,p04,p05",97,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1614_i1.jpg
shared_12rep_LAION_cluster_1618_i0.jpg,"p01,p02,p03,p04,p05",98,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1618_i0.jpg
shared_12rep_LAION_cluster_1619_i4.jpg,"p01,p02,p03,p04,p05",99,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1619_i4.jpg
