combo,pool_plot,split,eval_type,n,n_subjects,n_models,mean,median,min,max
shared_random_2,shared,random_2,wrsa,234,2,117,0.440476980796641,0.4777397662401199,-0.0876664221286773,0.6110872030258179
shared_random_3,shared,random_3,crsa,234,2,117,0.2087353296234903,0.21413142234086985,-0.0003341773699503,0.4375832676887512
shared_random_3,shared,random_3,srpr,234,2,117,0.41159672922312,0.45330099737836016,0.1287733839998341,0.5058732078480958
shared_random_3,shared,random_3,wrsa,234,2,117,0.4578149929109356,0.4991230219602585,-0.0564563870429992,0.6419999599456787
shared_random_4,shared,random_4,crsa,234,2,117,0.20411152901669216,0.2067613452672958,-0.004042933229357,0.4106736183166504
shared_random_4,shared,random_4,srpr,234,2,117,0.3909992391106929,0.4299753335643338,0.0999859639274436,0.4896988347105144
shared_random_4,shared,random_4,wrsa,234,2,117,0.46951044199622083,0.5265668332576752,-0.0655937120318412,0.6610058546066284
shared_random_agg,shared,random_agg,crsa,234,2,117,0.2071375801871007,0.1984106540679931,0.0203374348173383,0.4119681179523468
shared_random_agg,shared,random_agg,srpr,234,2,117,0.4008336347354379,0.4368494027853494,0.1200502177135281,0.4988115765842201
shared_random_agg,shared,random_agg,wrsa,234,2,117,0.45117043217835134,0.492586413025856,-0.0520182868465781,0.6205899596214295
shared_tau,shared,tau,crsa,234,2,117,0.18786292011117262,0.1870075315237045,-0.0430620610713958,0.3868741393089294
shared_tau,shared,tau,srpr,234,2,117,0.3810080272887836,0.41555594528607,0.0971245838625432,0.4876024380398096
shared_tau,shared,tau,wrsa,234,2,117,0.4513787589763275,0.5006493628025055,-0.0386979430913925,0.6449310779571533
subject_cluster_k5_0,subject,cluster_k5_0,crsa,234,2,117,0.1826266647867747,0.1761691644787788,-0.0032641619909554,0.3904034495353699
subject_cluster_k5_0,subject,cluster_k5_0,srpr,234,2,117,0.29100764443432403,0.31287832617758493,0.0889752364612655,0.3741972926191521
subject_cluster_k5_0,subject,cluster_k5_0,wrsa,234,2,117,0.37184983886018175,0.4172397702932358,-0.0783183351159095,0.5139577388763428
subject_cluster_k5_1,subject,cluster_k5_1,crsa,234,2,117,0.18307294965369436,0.18531814217567438,-0.1460912674665451,0.4089735746383667
