subject,model,eval_type,region,model_layer,model_layer_index,score,train_score,max_model_layer_index,selected_layer_fraction,model_source,comparison_group,result_model,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_goal_expertise,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
sub-06,vit_base_patch16_224_in21k_classification,crsa,otc,GELU-8,19,0.1123455837368965,0.2298301458358764,68,0.2794117647058823,timm,input_in1k_vs_in21k,vit_base_patch16_224_in21k_classification,vit_base_patch16_224_in21k,vit_base_patch16_224_in21k_classification,ViT-B-P16-IN21K,classification,imagenet21k,vit_base_patch16_224,Transformer,Semantic,,,,,,,,,imagenet21k
sub-06,vit_base_patch16_224_in21k_classification,wrsa,otc,GELU-10,41,0.3841292858123779,0.2896269559860229,68,0.6029411764705882,timm,input_in1k_vs_in21k,vit_base_patch16_224_in21k_classification,vit_base_patch16_224_in21k,vit_base_patch16_224_in21k_classification,ViT-B-P16-IN21K,classification,imagenet21k,vit_base_patch16_224,Transformer,Semantic,,,,,,,,,imagenet21k
sub-06,vit_base_patch32_224_classification,crsa,otc,Linear-26,5,0.1125367805361747,0.2872094213962555,68,0.0735294117647058,timm,input_in1k_vs_in21k,vit_base_patch32_224_classification,vit_base_patch32_224,vit_base_patch32_224_classification,ViT-B-P32,classification,imagenet,vit_base_patch32_224,Transformer,Semantic,Transformer,,,,,,,,imagenet
sub-06,vit_base_patch32_224_classification,wrsa,otc,Identity-78,37,0.4581751227378845,0.3122607767581939,68,0.5441176470588235,timm,input_in1k_vs_in21k,vit_base_patch32_224_classification,vit_base_patch32_224,vit_base_patch32_224_classification,ViT-B-P32,classification,imagenet,vit_base_patch32_224,Transformer,Semantic,Transformer,,,,,,,,imagenet
sub-06,vit_base_patch32_224_in21k_classification,crsa,otc,Linear-30,16,0.2157846242189407,0.3147571384906769,68,0.2352941176470588,timm,input_in1k_vs_in21k,vit_base_patch32_224_in21k_classification,vit_base_patch32_224_in21k,vit_base_patch32_224_in21k_classification,ViT-B-P32-IN21K,classification,imagenet21k,vit_base_patch32_224,Transformer,Semantic,,,,,,,,,imagenet21k
sub-06,vit_base_patch32_224_in21k_classification,wrsa,otc,GELU-10,41,0.391038715839386,0.3040185570716858,68,0.6029411764705882,timm,input_in1k_vs_in21k,vit_base_patch32_224_in21k_classification,vit_base_patch32_224_in21k,vit_base_patch32_224_in21k_classification,ViT-B-P32-IN21K,classification,imagenet21k,vit_base_patch32_224,Transformer,Semantic,,,,,,,,,imagenet21k
sub-06,vit_large_patch16_224_classification,crsa,otc,Linear-97,134,0.1382779031991958,0.1864559650421142,134,1.0,timm,input_in1k_vs_in21k,vit_large_patch16_224_classification,vit_large_patch16_224,vit_large_patch16_224_classification,ViT-L-P16,classification,imagenet,vit_large_patch16_224,Transformer,Semantic,Transformer,,,,,,,,imagenet
sub-06,vit_large_patch16_224_classification,wrsa,otc,Identity-156,79,0.5125753879547119,0.3100601136684418,134,0.5895522388059702,timm,input_in1k_vs_in21k,vit_large_patch16_224_classification,vit_large_patch16_224,vit_large_patch16_224_classification,ViT-L-P16,classification,imagenet,vit_large_patch16_224,Transformer,Semantic,Transformer,,,,,,,,imagenet
sub-06,vit_large_patch16_224_in21k_classification,crsa,otc,Identity-196,133,0.166320264339447,0.1925670653581619,134,0.9925373134328358,timm,input_in1k_vs_in21k,vit_large_patch16_224_in21k_classification,vit_large_patch16_224_in21k,vit_large_patch16_224_in21k_classification,ViT-L-P16-IN21K,classification,imagenet21k,vit_large_patch16_224,Transformer,Semantic,,,,,,,,,imagenet21k
sub-06,vit_large_patch16_224_in21k_classification,wrsa,otc,Identity-156,79,0.5161716341972351,0.3087583482265472,134,0.5895522388059702,timm,input_in1k_vs_in21k,vit_large_patch16_224_in21k_classification,vit_large_patch16_224_in21k,vit_large_patch16_224_in21k_classification,ViT-L-P16-IN21K,classification,imagenet21k,vit_large_patch16_224,Transformer,Semantic,,,,,,,,,imagenet21k
sub-06,vit_small_patch16_224_classification,crsa,otc,GELU-12,63,0.1590125113725662,0.254467099905014,68,0.9264705882352942,timm,input_in1k_vs_in21k,vit_small_patch16_224_classification,vit_small_patch16_224,vit_small_patch16_224_classification,ViT-S-P16,classification,imagenet,vit_small_patch16_224,Transformer,Semantic,Transformer,,,,,,,,imagenet
sub-06,vit_small_patch16_224_classification,wrsa,otc,Linear-34,27,0.4751642048358917,0.2990859746932983,68,0.3970588235294117,timm,input_in1k_vs_in21k,vit_small_patch16_224_classification,vit_small_patch16_224,vit_small_patch16_224_classification,ViT-S-P16,classification,imagenet,vit_small_patch16_224,Transformer,Semantic,Transformer,,,,,,,,imagenet
sub-06,vit_small_patch16_224_in21k_classification,crsa,otc,Linear-26,5,0.1882633715867996,0.2610543966293335,68,0.0735294117647058,timm,input_in1k_vs_in21k,vit_small_patch16_224_in21k_classification,vit_small_patch16_224_in21k,vit_small_patch16_224_in21k_classification,ViT-S-P16-IN21K,classification,imagenet21k,vit_small_patch16_224,Transformer,Semantic,,,,,,,,,imagenet21k
sub-06,vit_small_patch16_224_in21k_classification,wrsa,otc,Linear-34,27,0.482689768075943,0.2881217896938324,68,0.3970588235294117,timm,input_in1k_vs_in21k,vit_small_patch16_224_in21k_classification,vit_small_patch16_224_in21k,vit_small_patch16_224_in21k_classification,ViT-S-P16-IN21K,classification,imagenet21k,vit_small_patch16_224,Transformer,Semantic,,,,,,,,,imagenet21k
sub-06,vit_small_patch32_224_classification,crsa,otc,Linear-30,16,0.1662382781505584,0.2348732054233551,68,0.2352941176470588,timm,input_in1k_vs_in21k,vit_small_patch32_224_classification,vit_small_patch32_224,vit_small_patch32_224_classification,ViT-S-P32,classification,imagenet,vit_small_patch32_224,Transformer,Semantic,Transformer,,,,,,,,imagenet
