combo,pool_plot,split,eval_type,n,n_subjects,n_models,mean,median,min,max
subject_random_1,subject,random_1,srpr,585,5,117,0.3657412141081765,0.3984301995054187,0.1287849959231559,0.4492784595747597
subject_random_1,subject,random_1,wrsa,585,5,117,0.43118235401244054,0.4753687381744385,-0.0272580105811357,0.6204938292503357
subject_random_2,subject,random_2,crsa,585,5,117,0.1782933714887143,0.1768576502799987,0.0107622956857085,0.3586477637290954
subject_random_2,subject,random_2,srpr,585,5,117,0.3685451146690598,0.3998801061217764,0.0692998230126352,0.4512419446631447
subject_random_2,subject,random_2,wrsa,585,5,117,0.42429365532106567,0.4561445415019989,-0.0207785815000534,0.6388839483261108
subject_random_3,subject,random_3,crsa,585,5,117,0.16661027827833447,0.1678812056779861,-0.0169865991920232,0.3495174050331116
subject_random_3,subject,random_3,srpr,585,5,117,0.36534267846845825,0.3998523862807567,0.1263553002995443,0.4474295564190701
subject_random_3,subject,random_3,wrsa,585,5,117,0.41103755930323216,0.4367185533046722,-0.0126006538048386,0.6096348166465759
subject_random_4,subject,random_4,crsa,585,5,117,0.1729843520806131,0.1749429255723953,0.0161850284785032,0.3628115952014923
subject_random_4,subject,random_4,srpr,585,5,117,0.3642981627204019,0.396212160581938,0.1280862929577217,0.4494161400294857
subject_random_4,subject,random_4,wrsa,585,5,117,0.4202136420097568,0.4563581645488739,-0.0213358011096715,0.6379525065422058
subject_random_agg,subject,random_agg,crsa,585,5,117,0.17359472339463408,0.173276948928833,0.0141498632729053,0.3462533056735992
subject_random_agg,subject,random_agg,srpr,585,5,117,0.36636736719725216,0.3985374284623052,0.1329969557500546,0.4492192166673276
subject_random_agg,subject,random_agg,wrsa,585,5,117,0.4223577508439397,0.4544870495796204,-0.0101668960647657,0.6249256491661072
subject_tau,subject,tau,crsa,585,5,117,0.17083516251773406,0.169416069984436,0.0049115763977169,0.3303982019424438
subject_tau,subject,tau,srpr,585,5,117,0.3673441183273579,0.3998461447500694,0.1234652954736726,0.4459186287670382
subject_tau,subject,tau,wrsa,585,5,117,0.4152521415438471,0.4468501806259155,-0.0209064707159996,0.6317012310028076
