model,model_class,train_type,train_data,model_source,task_cluster,comparison_group
openclip_vit_l_14_quickgelu_metaclip_400m,Transformer,clip,metaclip,openclip,Vision-Language,other
openclip_vit_l_14_quickgelu_metaclip_fullcc,Transformer,clip,metaclip,openclip,Vision-Language,other
openclip_vit_so400m_14_siglip_webli,Transformer,siglip,webli,openclip,Vision-Language,other
panoptic_fpn_R_50_3x_panoptics,Convolutional,panoptics,coco2017,detectron,Detection|Segmentation,other
pit_b_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
pit_s_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
pit_ti_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
pnasnet5large_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
point_matching_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,Geometric,task_taskonomy
poolformer_m36_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
poolformer_s12_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
poolformer_s36_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
random_weights_taskonomy,Convolutional,taskonomy,none,taskonomy,Random,task_taskonomy
regnetx_064_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
regnety_064_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
repvgg_b1_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
repvgg_b1g4_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
res2net50_26w_4s_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
reshading_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,3D,task_taskonomy
resmlp_12_224_classification,MLP-Mixer,classification,imagenet,timm,Semantic,other
resmlp_24_224_classification,MLP-Mixer,classification,imagenet,timm,Semantic,other
resmlp_36_224_classification,MLP-Mixer,classification,imagenet,timm,Semantic,other
resmlp_big_24_224_classification,MLP-Mixer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
resmlp_big_24_224_in22ft1k_classification,MLP-Mixer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
resnest50d_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
resnetrs50_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
resnetv2_101x3_bitm_big_transfer,Convolutional,big_transfer,big_transfer,timm,Semantic,input_in1k_vs_in21k
resnetv2_101x3_bitm_in21k_big_transfer,Convolutional,big_transfer,big_transfer,timm,Semantic,input_in1k_vs_in21k
resnetv2_152x4_bitm_big_transfer,Convolutional,big_transfer,big_transfer,timm,Semantic,input_in1k_vs_in21k
resnetv2_152x4_bitm_in21k_big_transfer,Convolutional,big_transfer,big_transfer,timm,Semantic,input_in1k_vs_in21k
resnetv2_50x1_bitm_big_transfer,Convolutional,big_transfer,big_transfer,timm,Semantic,input_in1k_vs_in21k
resnetv2_50x1_bitm_in21k_big_transfer,Convolutional,big_transfer,big_transfer,timm,Semantic,input_in1k_vs_in21k
resnext101_32x8d_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
resnext50_32x4d_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
retinanet_R_101_FPN_3x_detection,Convolutional,detection,coco2017,detectron,Detection|Segmentation,other
retinanet_R_50_FPN_3x_detection,Convolutional,detection,coco2017,detectron,Detection|Segmentation,other
rexnet_100_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
robustness_imagenet_l2_eps3,Convolutional,adversarial,imagenet,robustness,Other,other
room_layout_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,Geometric,task_taskonomy
seer_regnet128gf,Convolutional,seer,random1B,seer,Self-Supervised,other
seer_regnet128gf_inft,Convolutional,seer,random1B,seer,Self-Supervised,other
seer_regnet32gf,Convolutional,seer,random1B,seer,Self-Supervised,other
seer_regnet64gf,Convolutional,seer,random1B,seer,Self-Supervised,other
selecsls60_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
semnasnet_100_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
seresnet50_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
seresnext50_32x4d_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
shufflenet_v2_x0_5_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
shufflenet_v2_x1_0_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
skresnet18_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
skresnext50_32x4d_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
slip_vit_b_clip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
slip_vit_b_simclr,Transformer,slip,YFCC15M,slip,Self-Supervised,task_slip
slip_vit_b_slip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
slip_vit_l_clip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
slip_vit_l_simclr,Transformer,slip,YFCC15M,slip,Self-Supervised,task_slip
slip_vit_l_slip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
slip_vit_s_clip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
slip_vit_s_simclr,Transformer,slip,YFCC15M,slip,Self-Supervised,task_slip
slip_vit_s_slip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
spnasnet_100_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
squeezenet1_0_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
squeezenet1_1_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
ssl_resnet18_semi/supervised,Convolutional,semi-supervised,YFCC100M,timm,Semantic,other
ssl_resnet50_semi/supervised,Convolutional,semi-supervised,YFCC100M,timm,Semantic,other
ssl_resnext101_32x4d_semi/supervised,Convolutional,semi-supervised,YFCC100M,timm,Semantic,other
swin_base_patch4_window7_224_classification,Transformer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
swin_base_patch4_window7_224_in22k_classification,Transformer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
swin_large_patch4_window7_224_classification,Transformer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
swin_large_patch4_window7_224_in22k_classification,Transformer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
swin_small_patch4_window7_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
swin_tiny_patch4_window7_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
swsl_resnet18_semi/weakly/supervised,Convolutional,semi-weakly-supervised,Instagram,timm,Semantic,other
swsl_resnet50_semi/weakly/supervised,Convolutional,semi-weakly-supervised,Instagram,timm,Semantic,other
swsl_resnext101_32x4d_semi/weakly/supervised,Convolutional,semi-weakly-supervised,Instagram,timm,Semantic,other
tf_efficientnet_b0_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b0_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b0_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
