feature_stem,deepnsd_model_string,model,metric,subj_id,n_colin_layers,n_our_layers_matching_colin,full_train_selected_layer,full_train_selected_layer_depth,full_train_selected_train,full_train_selected_test,our_train_selected_layer,our_train_selected_layer_depth,our_train_selected_train,our_train_selected_test,test_gap_full_minus_our,same_layer,our_layer_test_rank_among_colin_layers,our_layer_test_percentile_among_colin_layers,colin_test_min,colin_test_median,colin_test_max
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224,crsa,5,57,11,Linear-30,0.5955555555555555,0.3104303259894875,0.3221334052261088,Linear-30,0.5955555555555555,0.3104303259894875,0.3221334052261088,0.0,True,1,100.0,0.017401572676958514,0.20829682739312985,0.3221334052261088
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224,crsa,7,57,11,LayerNorm-20,0.7777777777777778,0.29273934021561326,0.2942102596530237,Linear-30,0.5955555555555555,0.29049605982518173,0.29952299293814677,-0.00531273328512305,False,1,100.0,0.028370116722369578,0.21443248513213228,0.29952299293814677
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224,srpr,1,57,11,Linear-35,0.7022222222222222,0.34196439270327317,0.3373375512581488,Linear-35,0.7022222222222222,0.34196439270327317,0.3373375512581488,0.0,True,6,91.22807017543859,0.06838454661094212,0.30150445501841744,0.34301467712044126
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224,srpr,2,57,11,Linear-35,0.7022222222222222,0.3744500273152371,0.375177975292619,Linear-35,0.7022222222222222,0.3744500273152371,0.375177975292619,0.0,True,3,96.49122807017544,0.09330945937749682,0.3381510887710444,0.37605183033246253
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224,srpr,5,57,11,LayerNorm-18,0.6977777777777778,0.3903195118314779,0.4008499799348852,Linear-30,0.5955555555555555,0.38386531812085734,0.3947565407301267,0.006093439204758466,False,4,94.73684210526315,0.08833347484626335,0.3598666691521756,0.4008499799348852
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224,srpr,7,57,11,LayerNorm-18,0.6977777777777778,0.31379969827918525,0.32665066550468785,Linear-37,0.7466666666666667,0.3118388263417796,0.32219281933022287,0.0044578461744649855,False,4,94.73684210526315,0.06658423878290055,0.29227703858351645,0.32665066550468785
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224,wrsa,1,57,11,Linear-30,0.5955555555555555,0.6618573871055993,0.6381839474944646,Linear-30,0.5955555555555555,0.6618573871055993,0.6381839474944646,0.0,True,5,92.98245614035088,0.08896406788505883,0.5759945657171434,0.6448345784507158
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224,wrsa,2,56,11,Linear-37,0.7466666666666667,0.7010429508623989,0.6497840816110899,Linear-37,0.7466666666666667,0.7010429508623989,0.6497840816110899,0.0,True,4,94.64285714285714,0.09968851114696779,0.5953332135951594,0.6533926793666386
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224,wrsa,5,57,11,Linear-41,0.8266666666666667,0.6859093844519839,0.6877579822111461,Linear-30,0.5955555555555555,0.6820716164015581,0.7112882631197635,-0.023530280908617307,False,1,100.0,0.09006675351153215,0.6402161874458967,0.7112882631197635
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224,wrsa,7,57,11,Linear-37,0.7466666666666667,0.5922502358781426,0.5823936524614562,Linear-37,0.7466666666666667,0.5922502358781426,0.5823936524614562,0.0,True,2,98.24561403508771,0.07734904609941357,0.529657408982543,0.596456048462105
denoising_taskonomy,denoising_taskonomy,denoising,crsa,1,81,11,BatchNorm2d-28,0.5027932960893855,0.06157448227713938,0.06443232632823792,Conv2d-28,0.4972067039106145,0.06108678382021263,0.06589215296176429,-0.0014598266335263677,False,1,100.0,0.013342879774291936,0.03595505880128249,0.06589215296176429
denoising_taskonomy,denoising_taskonomy,denoising,crsa,2,81,11,BatchNorm2d-28,0.5027932960893855,0.060926932521690624,0.05474759682914749,Conv2d-28,0.4972067039106145,0.05833397263420691,0.057906583343932505,-0.0031589865147850157,False,1,100.0,0.013694231078564826,0.03399113172172727,0.057906583343932505
denoising_taskonomy,denoising_taskonomy,denoising,crsa,5,81,11,BatchNorm2d-28,0.5027932960893855,0.059302522169207464,0.06739977250433402,Conv2d-28,0.4972067039106145,0.05624916207120776,0.06967584817596892,-0.002276075671634903,False,1,100.0,0.014911021309300127,0.03985417614123304,0.06967584817596892
denoising_taskonomy,denoising_taskonomy,denoising,crsa,7,81,11,BatchNorm2d-28,0.5027932960893855,0.056362523528998024,0.05926238272424311,Conv2d-28,0.4972067039106145,0.050996848840185405,0.06169567035287983,-0.0024332876286367183,False,1,100.0,0.007765593574621282,0.03372168322979011,0.06169567035287983
denoising_taskonomy,denoising_taskonomy,denoising,srpr,1,81,11,ReLU-44,0.8770949720670391,0.11191332301720944,0.11334084772497165,Conv2d-28,0.4972067039106145,0.10579833556670099,0.11613960064055893,-0.002798752915587288,False,2,98.76543209876543,0.015459742051724167,0.07687058578305757,0.11995399171316573
denoising_taskonomy,denoising_taskonomy,denoising,srpr,2,81,11,ReLU-44,0.8770949720670391,0.13489004295791734,0.12428003187578503,Conv2d-28,0.4972067039106145,0.12322301939520455,0.125752310013693,-0.0014722781379079702,False,2,98.76543209876543,0.022745426719411713,0.0870644114400344,0.13368818420851933
denoising_taskonomy,denoising_taskonomy,denoising,srpr,5,81,11,BatchNorm2d-28,0.5027932960893855,0.13547925041259457,0.1315591246259273,Conv2d-28,0.4972067039106145,0.13245577702149178,0.1250294524991644,0.00652967212676292,False,3,97.53086419753086,0.020936553695413786,0.08449089323827112,0.1315591246259273
