split,family,effect,metric,conwell,split-half,split-half + OOD,shared-image pool,subject-image pool
tau,Architecture,Transformer - CNN,cRSA,"-0.04 [-0.05, -0.03], p < 0.001",,,"-0.059 [-0.077, -0.042], p <0.001","-0.060 [-0.072, -0.048], p <0.001"
tau,Architecture,Transformer - CNN,veRSA,"-0.01 [-0.02, -0.00], p < 0.001",,,"+0.036 [+0.023, +0.049], p <0.001","+0.016 [+0.007, +0.024], p <0.001"
tau,Self-supervised,Contrastive - Non-Contrastive,cRSA,"+0.06 contrastive advantage, p < 0.001",,,"+0.131 [+0.107, +0.155], p <0.001","+0.065 [+0.046, +0.084], p <0.001"
tau,Self-supervised,Contrastive - Non-Contrastive,veRSA,"+0.09 contrastive advantage, p < 0.001",,,"+0.080 [+0.052, +0.107], p <0.001","+0.056 [+0.040, +0.071], p <0.001"
tau,SLIP objective,CLIP - SimCLR,cRSA,"-0.05 [-0.06, -0.03], p < 0.001",,,"-0.031 [-0.083, +0.021], p 0.237","-0.029 [-0.057, -0.000], p 0.049"
tau,SLIP objective,CLIP - SimCLR,veRSA,"-0.02 [-0.04, -0.01], p = 0.005",,,"+0.009 [-0.020, +0.037], p 0.534","-0.024 [-0.037, -0.011], p <0.001"
tau,SLIP objective,SLIP - SimCLR,cRSA,No substantial effect reported,,,"+0.034 [-0.018, +0.087], p 0.190","+0.014 [-0.014, +0.043], p 0.314"
tau,SLIP objective,SLIP - SimCLR,veRSA,No substantial effect reported,,,"+0.010 [-0.018, +0.039], p 0.462","+0.007 [-0.006, +0.020], p 0.280"
tau,Input diet,ImageNet21K - ImageNet1K,cRSA,"0.00 [-0.03, 0.03], p = 0.957",,,"-0.005 [-0.021, +0.010], p 0.498","+0.012 [+0.003, +0.021], p 0.013"
tau,Input diet,ImageNet21K - ImageNet1K,veRSA,"+0.01 [0.00, 0.03], p = 0.147",,,"-0.031 [-0.044, -0.018], p <0.001","-0.009 [-0.015, -0.002], p 0.014"
