feature_stem,deepnsd_model_string,model,metric,n_colin_layers,n_our_layers_matching_colin,colin_min_test,colin_median_test,colin_max_test,colin_range_test,colin_iqr_test,colin_best_layer,colin_best_layer_depth,our_best_matching_layer,our_best_matching_layer_depth,our_best_matching_test,our_worst_matching_test,our_gap_from_colin_best,our_best_rank_among_colin_layers,our_best_percentile_among_colin_layers,our_covers_colin_best_layer
depth_euclidean_taskonomy,depth_euclidean_taskonomy,depth_euclidean,crsa,81,11,0.059364861411792647,0.13953303387991411,0.17332335961513684,0.1139584982033442,0.028239529787724094,Conv2d-38,0.6871508379888268,ReLU-35,0.6983240223463687,0.15995271701614852,0.08673248107685579,0.01337064259898832,4,96.29629629629629,False
edge_texture_taskonomy,edge_texture_taskonomy,edge_texture,crsa,81,11,0.0004302168046569622,0.022826189590039153,0.06508645923928691,0.06465624243462995,0.02568956964491429,Conv2d-45,0.8156424581005587,BatchNorm2d-38,0.6927374301675978,0.052144262093793206,0.009500370306799753,0.012942197145493703,8,91.35802469135803,False
ViT-L-CLIP_slip,ViT-L-CLIP_slip,ViT-L-CLIP,crsa,111,12,0.020644124616144108,0.15880325720495964,0.28432126603456015,0.26367714141841603,0.11778107173190966,LayerNorm-42,0.8458049886621315,LayerNorm-32,0.6417233560090703,0.2714683173404647,0.04988037584197547,0.012852948694095423,5,96.3963963963964,False
swin_base_patch4_window7_224_classification,swin_base_patch4_window7_224_classification,swin_base_patch4_window7_224,crsa,91,11,0.027185220640303997,0.20102531323367928,0.30598283147042593,0.27879761083012194,0.20937156082293107,DropPath-27,,Linear-73,,0.29439525575540515,0.03839302666042136,0.011587575715020781,3,97.8021978021978,False
resmlp_big_24_224_in22ft1k_classification,resmlp_big_24_224_in22ft1k_classification,resmlp_big_24_224_in22ft1k,crsa,110,12,0.012476002158533086,0.296371818861061,0.39469077715095185,0.3822147749924188,0.16187520841161498,Identity-33,0.6598639455782312,GELU-17,0.6836734693877551,0.38352220023777994,0.03764110083011531,0.011168576913171913,8,93.63636363636364,False
segment_semantic_taskonomy,segment_semantic_taskonomy,segment_semantic,crsa,81,11,0.04729935246152986,0.13423272306105455,0.15633818000455452,0.10903882754302466,0.031066360914206892,BatchNorm2d-42,0.7653631284916201,ReLU-35,0.6983240223463687,0.14536828799574528,0.07467724201975566,0.01096989200880924,9,90.12345679012346,False
nf_resnet50_classification,nf_resnet50_classification,nf_resnet50,crsa,62,12,0.17291005602323323,0.2659753741269907,0.4006649521159882,0.22775489609275495,0.05459771998673141,ScaledStdConv2d-48,0.847682119205298,ScaledStdConv2d-49,0.8609271523178808,0.39084128103199195,0.2010291209639362,0.009823671083996233,2,98.38709677419355,False
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,crsa,79,13,0.07751658260067577,0.16542449745918578,0.32624946982985664,0.24873288722918085,0.07765753579493156,Conv2d-52,0.9485714285714286,AdaptiveAvgPool2d-1,0.9885714285714284,0.3176654605384895,0.09161663049464007,0.008584009291367156,3,97.46835443037975,False
ViT-L-SLIP_slip,ViT-L-SLIP_slip,ViT-L-SLIP,crsa,110,12,0.05382070382550331,0.2390830744406321,0.322981124749166,0.2691604209236627,0.07655210921970945,Identity-98,0.9931972789115646,Linear-94,0.9569160997732428,0.31443656624536737,0.1454171626138844,0.00854455850379865,4,97.27272727272728,False
squeezenet1_0_classification,squeezenet1_0_classification,squeezenet1_0,crsa,32,12,0.1595325363294327,0.20585307248050932,0.31859205247180766,0.15905951614237496,0.09020824994852117,Conv2d-23,0.8333333333333334,AdaptiveAvgPool2d-1,0.9848484848484848,0.3110189497760124,0.1595325363294327,0.007573102695795253,2,96.875,False
ResNet50-RotNet_selfsupervised,ResNet50-RotNet_selfsupervised,ResNet50-RotNet,crsa,79,13,0.06758172447166594,0.17205821151353407,0.23617859617671158,0.16859687170504564,0.05267733539877409,Conv2d-34,0.6114285714285714,Conv2d-49,0.8914285714285715,0.22888437234629794,0.1353245997043307,0.007294223830413643,6,93.67088607594937,False
normal_taskonomy,normal_taskonomy,normal,crsa,81,11,0.037933533769326594,0.12930044125004456,0.16025426821870759,0.12232073444938099,0.04240868347776196,BatchNorm2d-36,0.6536312849162011,Conv2d-36,0.6480446927374302,0.15357255826056257,0.05200526189484124,0.006681709958145016,5,95.06172839506173,False
vit_small_patch32_224_classification,vit_small_patch32_224_classification,vit_small_patch32_224,crsa,57,11,0.015456490752661808,0.1942308887379019,0.29559764656706033,0.2801411558143985,0.12368189015504522,LayerNorm-24,0.9377777777777778,LayerNorm-22,0.8577777777777778,0.2889707620651689,0.13883443876840856,0.006626884501891417,2,98.24561403508771,False
curvature_taskonomy,curvature_taskonomy,curvature,crsa,81,11,0.019194706253834844,0.10489269181640751,0.13535664107130835,0.1161619348174735,0.054909545497590154,BatchNorm2d-44,0.8044692737430168,BatchNorm2d-41,0.7486033519553073,0.12883942137800133,0.019194706253834844,0.006517219693307014,3,97.53086419753086,False
jx_nest_tiny_classification,jx_nest_tiny_classification,jx_nest_tiny,crsa,61,12,0.02141048140083042,0.20460151183176487,0.3256896995446259,0.3042792181437955,0.13208137571645645,Linear-30,0.6103286384976526,LayerNorm-22,0.7793427230046949,0.32028153644437274,0.02141048140083042,0.0054081631002531605,2,98.36065573770492,False
nonfixated_pose_taskonomy,nonfixated_pose_taskonomy,nonfixated_pose,crsa,81,11,0.0053771702328405824,0.0675065995831659,0.09512324293084068,0.0897460726980001,0.04012501993029936,ReLU-37,0.7318435754189944,ReLU-35,0.6983240223463687,0.0898679243857052,0.0053771702328405824,0.005255318545135473,3,97.53086419753086,False
keypoints3d_taskonomy,keypoints3d_taskonomy,keypoints3d,crsa,81,11,0.041913414572437024,0.1463820255488005,0.1698988271705169,0.12798541259807988,0.027695515961639827,BatchNorm2d-42,0.7653631284916201,Conv2d-36,0.6480446927374302,0.1648712663486705,0.06788203194964523,0.005027560821846411,4,96.29629629629629,False
depth_zbuffer_taskonomy,depth_zbuffer_taskonomy,depth_zbuffer,crsa,81,11,0.03381511693168976,0.10168763673053177,0.14518531390368575,0.11137019697199599,0.05324731920672496,BatchNorm2d-37,0.6703910614525139,Conv2d-36,0.6480446927374302,0.14038276421598675,0.04473611552184414,0.004802549687698998,4,96.29629629629629,False
googlenet_classification,googlenet_classification,googlenet,crsa,97,12,0.07137443524830298,0.21388136902735055,0.37668486485121827,0.3053104296029153,0.08855472206678477,MaxPool2d-13,0.9593908629441624,BatchNorm2d-48,0.817258883248731,0.3724459817561937,0.07553548924464094,0.00423888309502457,2,98.96907216494846,False
ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR,crsa,79,13,0.08660562133157056,0.1974089082908938,0.3633210939783612,0.27671547264679064,0.10439877796898658,BatchNorm2d-49,0.8971428571428571,Conv2d-49,0.8914285714285715,0.3595873888805361,0.11535433772829619,0.003733705097825113,2,98.73417721518987,False
fixated_pose_taskonomy,fixated_pose_taskonomy,fixated_pose,crsa,81,11,0.016576087429411544,0.07609675331850521,0.09892623282148116,0.08235014539206961,0.03758932451848234,BatchNorm2d-30,0.5418994413407822,ReLU-27,0.547486033519553,0.09554747606771527,0.018032658004178945,0.0033787567537658936,7,92.5925925925926,False
egomotion_taskonomy,egomotion_taskonomy,egomotion,crsa,81,11,0.008587052394658649,0.06162844342530326,0.09377702989383362,0.08518997749917497,0.06115636393259492,ReLU-28,0.5642458100558659,Conv2d-28,0.4972067039106145,0.09117972842297302,0.01635842097781457,0.002597301470860597,5,95.06172839506173,False
ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096-2x224+6x96,crsa,79,13,0.12524015924944848,0.2150298375527067,0.3429416685621278,0.21770150931267934,0.106607256214766,BatchNorm2d-48,0.88,BatchNorm2d-51,0.9371428571428572,0.3405545521252595,0.12962639896661843,0.0023871164368683417,2,98.73417721518987,False
convnext_base_in22k_classification,convnext_base_in22k_classification,convnext_base_in22k,crsa,132,12,0.01415816966582239,0.20962475908072736,0.33910534817750726,0.32494717851168486,0.1477271130846283,Conv2d-26,0.6020942408376964,Conv2d-31,0.7329842931937173,0.3368814414478686,0.04757790598145761,0.0022239067296386805,2,99.24242424242425,False
reshading_taskonomy,reshading_taskonomy,reshading,crsa,81,11,0.07659602895413262,0.15004631579894495,0.1638614780817087,0.08726544912757608,0.014057536024274675,BatchNorm2d-38,0.6927374301675978,ReLU-35,0.6983240223463687,0.1618021757359592,0.08729820864361705,0.0020593023457494974,2,98.76543209876543,False
ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19,crsa,79,13,0.03385601354995954,0.16578390015362662,0.25866377919630557,0.22480776564634602,0.0843731339131577,Conv2d-39,0.7085714285714285,BatchNorm2d-39,0.7142857142857143,0.25694612648689535,0.05963639585205289,0.0017176527094102112,2,98.73417721518987,False
hardcorenas_a_classification,hardcorenas_a_classification,hardcorenas_a,crsa,70,12,0.12097351031701953,0.2426823085609376,0.4224094540246082,0.3014359437075887,0.12238190413776895,ReLU-17,0.8921568627450981,Conv2d-47,0.8872549019607843,0.42095022830514717,0.12097351031701953,0.0014592257194610547,2,98.57142857142858,False
inpainting_taskonomy,inpainting_taskonomy,inpainting,crsa,81,10,-0.0007288225204862414,0.045530201129781095,0.09501633371422505,0.09574515623471129,0.03166362228045172,BatchNorm2d-39,0.7094972067039106,BatchNorm2d-38,0.6927374301675978,0.0935787144063975,0.017338041793475253,0.0014376193078275423,2,98.76543209876543,False
point_matching_taskonomy,point_matching_taskonomy,point_matching,crsa,81,11,0.017949997702246707,0.0698960031432236,0.09660118965343575,0.07865119195118905,0.02862591338771632,BatchNorm2d-30,0.5418994413407822,ReLU-27,0.547486033519553,0.09518660221227798,0.027084059591951475,0.001414587441157772,2,98.76543209876543,False
