feature_stem,deepnsd_model_string,feature_file,h5_exists,metric,nsd_consensus_layer,present_in_current_sampled_laion_h5,n_current_sampled_layers,subject_votes_for_consensus,n_subjects
swin_base_patch4_window7_224_classification,swin_base_patch4_window7_224_classification,swin_base_patch4_window7_224_classification.h5,True,crsa,DropPath-27,False,11,2,4
swin_base_patch4_window7_224_classification,swin_base_patch4_window7_224_classification,swin_base_patch4_window7_224_classification.h5,True,srpr,Linear-69,False,11,3,4
swin_base_patch4_window7_224_classification,swin_base_patch4_window7_224_classification,swin_base_patch4_window7_224_classification.h5,True,wrsa,Linear-92,False,11,2,4
swin_large_patch4_window7_224_classification,swin_large_patch4_window7_224_classification,swin_large_patch4_window7_224_classification.h5,True,crsa,Linear-61,False,11,2,4
swin_large_patch4_window7_224_classification,swin_large_patch4_window7_224_classification,swin_large_patch4_window7_224_classification.h5,True,srpr,Linear-65,False,11,3,4
swin_large_patch4_window7_224_classification,swin_large_patch4_window7_224_classification,swin_large_patch4_window7_224_classification.h5,True,wrsa,Linear-92,False,11,4,4
swin_tiny_patch4_window7_224_classification,swin_tiny_patch4_window7_224_classification,swin_tiny_patch4_window7_224_classification.h5,True,crsa,LayerNorm-26,False,11,4,4
swin_tiny_patch4_window7_224_classification,swin_tiny_patch4_window7_224_classification,swin_tiny_patch4_window7_224_classification.h5,True,srpr,LayerNorm-25,False,11,2,4
swin_tiny_patch4_window7_224_classification,swin_tiny_patch4_window7_224_classification,swin_tiny_patch4_window7_224_classification.h5,True,wrsa,Linear-44,True,11,2,4
tnt_s_patch16_224_classification,tnt_s_patch16_224_classification,tnt_s_patch16_224_classification.h5,True,crsa,LayerNorm-37,False,12,4,4
tnt_s_patch16_224_classification,tnt_s_patch16_224_classification,tnt_s_patch16_224_classification.h5,True,srpr,Linear-107,False,12,3,4
tnt_s_patch16_224_classification,tnt_s_patch16_224_classification,tnt_s_patch16_224_classification.h5,True,wrsa,Linear-107,False,12,2,4
visformer_small_classification,visformer_small_classification,visformer_small_classification.h5,True,crsa,Conv2d-38,False,12,4,4
visformer_small_classification,visformer_small_classification,visformer_small_classification.h5,True,srpr,BatchNorm2d-21,False,12,2,4
visformer_small_classification,visformer_small_classification,visformer_small_classification.h5,True,wrsa,BatchNorm2d-21,False,12,2,4
vit_large_patch16_224_classification,vit_large_patch16_224_classification,vit_large_patch16_224_classification.h5,True,crsa,Identity-98,False,12,3,4
vit_large_patch16_224_classification,vit_large_patch16_224_classification,vit_large_patch16_224_classification.h5,True,srpr,Linear-55,False,12,2,4
vit_large_patch16_224_classification,vit_large_patch16_224_classification,vit_large_patch16_224_classification.h5,True,wrsa,Linear-55,False,12,2,4
vit_small_patch16_224_classification,vit_small_patch16_224_classification,vit_small_patch16_224_classification.h5,True,crsa,Identity-50,False,11,3,4
vit_small_patch16_224_classification,vit_small_patch16_224_classification,vit_small_patch16_224_classification.h5,True,srpr,Linear-34,False,11,2,4
vit_small_patch16_224_classification,vit_small_patch16_224_classification,vit_small_patch16_224_classification.h5,True,wrsa,Identity-50,False,11,2,4
vit_tiny_patch16_224_classification,vit_tiny_patch16_224_classification,vit_tiny_patch16_224_classification.h5,True,crsa,Identity-50,False,11,4,4
vit_tiny_patch16_224_classification,vit_tiny_patch16_224_classification,vit_tiny_patch16_224_classification.h5,True,srpr,Linear-35,True,11,3,4
vit_tiny_patch16_224_classification,vit_tiny_patch16_224_classification,vit_tiny_patch16_224_classification.h5,True,wrsa,Identity-50,False,11,3,4
